ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.9405,1.7873,8.7221,1.9881,2.4741,9.2788,-0.0608,-0.6832,-0.941,0.0575,-0.0053,0.0341,791,-43.26,29.94,-49.92,34.99,-14.18,-13.25,3.1,987.89,44.43,42.394703,-83.281746,535.48,623.6539435,,0,14.680644,,0 / 20,16,2018-07-24 07:55:32:669
2.0267,2.2242,9.1075,1.8453,2.6923,9.2475,0.2568,-0.4872,-0.0765,-0.0117,-0.0075,0,718,-39.54,29.22,-53.88,32.69,-15.73,-11.43,3.1,987.86,51.676,42.394703,-83.281746,535.48,623.6539435,,0,14.680644,,0 / 20,516,2018-07-24 07:55:33:169
2.0195,2.1967,9.1219,1.8562,2.607,9.2698,0.1633,-0.4104,-0.1478,0.0053,-0.0202,0.0138,692,-36.48,25.98,-55.2,30.66,-15.53,-11.3,3.1,987.87,51.293,42.394703,-83.281746,535.48,623.6539435,,0,14.680644,,0 / 20,1016,2018-07-24 07:55:33:669
1.889,2.211,8.9579,1.7855,2.4996,9.3131,0.1036,-0.2886,-0.3552,-0.032,-0.0043,-0.0107,696,-36.24,26.16,-56.16,31.15,-14.83,-10.91,3.1,987.85,48.29,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,1516,2018-07-24 07:55:34:169
1.9692,1.8878,9.5098,1.8392,2.3034,9.3532,0.6076,0.0429,-0.2971,-0.2312,-0.115,-0.3196,707,-36.24,26.4,-56.28,31.94,-13.79,-10.76,3.1,987.86,48.34,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,2016,2018-07-24 07:55:34:669
2.9485,1.7753,8.0457,2.2192,2.9305,9.0916,1.1757,-0.3854,-1.7821,0.9374,-0.3782,-0.2567,749,-39.12,24.18,-55.68,36.54,-14.46,-10,3.1,987.83,48.864,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,2516,2018-07-24 07:55:35:169
-0.7338,2.496,9.8605,0.4388,3.7487,9.0512,-1.1726,-1.2528,0.8093,-0.2205,1.1292,0.0543,484,-48,6.36,-54.78,52.28,-22.98,-9.31,3.1,987.86,57.799,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,3016,2018-07-24 07:55:35:669
-7.1563,-0.1927,10.7272,-1.3619,3.0217,9.2296,-3.4947,-3.7543,1.9909,0.2152,0.1523,-0.2951,435,-24.6,10.38,-69.36,54.24,-16.01,10.82,3.1,987.79,57.383,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,3515,2018-07-24 07:55:36:168
-0.2286,3.5662,8.2768,-0.6634,3.8579,8.9915,0.4348,-0.2917,-0.7148,-0.3473,0.0703,0.0597,437,-17.88,7.14,-74.22,35.11,-22.95,4.95,3.1,987.81,51.904,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,4016,2018-07-24 07:55:36:669
-0.4956,4.4772,8.8131,-1.3965,3.0584,9.2123,0.9009,1.4187,-0.3992,1.2996,0.3835,2.0496,597,-20.82,12.84,-73.38,41.15,-17.3,6.46,3.1,987.8,56.778,42.394703,-83.28179,509.68,623.7086607,,0,48.935486,,0 / 20,4516,2018-07-24 07:55:37:169
